open,high,low,close,date
420.135,420.375,420.135,420.365,2021-06-01 11:35:00
420.365,420.455,420.345,420.415,2021-06-01 11:36:00
420.415,420.455,420.365,420.395,2021-06-01 11:37:00
420.395,420.475,420.375,420.445,2021-06-01 11:38:00
420.445,420.475,420.425,420.445,2021-06-01 11:39:00
420.445,420.455,420.325,420.335,2021-06-01 11:40:00
420.335,420.405,420.315,420.365,2021-06-01 11:41:00
420.365,420.415,420.335,420.395,2021-06-01 11:42:00
420.395,420.475,420.395,420.455,2021-06-01 11:43:00
420.455,420.455,420.325,420.335,2021-06-01 11:44:00
420.335,420.365,420.275,420.295,2021-06-01 11:45:00
420.295,420.295,420.055,420.055,2021-06-01 11:46:00
420.055,420.19,420.025,420.115,2021-06-01 11:47:00
420.115,420.235,420.105,420.225,2021-06-01 11:48:00
420.225,420.255,420.185,420.215,2021-06-01 11:49:00
420.215,420.215,420.09,420.185,2021-06-01 11:50:00
420.185,420.255,420.175,420.195,2021-06-01 11:51:00
420.195,420.275,420.175,420.265,2021-06-01 11:52:00
420.265,420.285,420.195,420.255,2021-06-01 11:53:00
420.255,420.265,420.185,420.235,2021-06-01 11:54:00
420.235,420.285,420.195,420.245,2021-06-01 11:55:00
420.245,420.315,420.225,420.315,2021-06-01 11:56:00
420.315,420.385,420.255,420.375,2021-06-01 11:57:00
420.375,420.395,420.325,420.375,2021-06-01 11:58:00
420.375,420.385,420.275,420.295,2021-06-01 11:59:00
420.295,420.365,420.065,420.215,2021-06-01 12:00:00
420.215,420.245,420.025,420.035,2021-06-01 12:01:00
420.035,420.135,420.035,420.125,2021-06-01 12:02:00
420.125,420.175,420.115,420.155,2021-06-01 12:03:00
420.155,420.18,420.135,420.175,2021-06-01 12:04:00
420.175,420.175,420.085,420.11,2021-06-01 12:05:00
420.11,420.195,420.085,420.195,2021-06-01 12:06:00
420.195,420.195,420.095,420.105,2021-06-01 12:07:00
420.105,420.115,419.845,419.925,2021-06-01 12:08:00
419.925,420.005,419.925,419.98,2021-06-01 12:09:00
419.98,420.005,419.88,419.975,2021-06-01 12:10:00
419.975,419.995,419.835,419.855,2021-06-01 12:11:00
419.855,419.885,419.805,419.855,2021-06-01 12:12:00
419.855,419.905,419.825,419.855,2021-06-01 12:13:00
419.855,419.915,419.845,419.905,2021-06-01 12:14:00
419.905,419.975,419.875,419.955,2021-06-01 12:15:00
419.955,419.955,419.825,419.84,2021-06-01 12:16:00
419.84,419.845,419.735,419.795,2021-06-01 12:17:00
419.795,419.855,419.745,419.82,2021-06-01 12:18:00
419.82,419.845,419.795,419.845,2021-06-01 12:19:00
419.845,419.905,419.805,419.835,2021-06-01 12:20:00
419.835,419.895,419.815,419.895,2021-06-01 12:21:00
419.895,420.045,419.895,420.035,2021-06-01 12:22:00
420.035,420.125,420.035,420.095,2021-06-01 12:23:00
420.095,420.135,420.015,420.025,2021-06-01 12:24:00
420.025,420.075,420.005,420.045,2021-06-01 12:25:00
420.045,420.075,420.015,420.045,2021-06-01 12:26:00
420.045,420.145,420.035,420.135,2021-06-01 12:27:00
420.135,420.145,420.005,420.015,2021-06-01 12:28:00
420.015,420.035,419.985,420.025,2021-06-01 12:29:00
420.025,420.055,419.955,419.995,2021-06-01 12:30:00
419.995,420.025,419.935,419.965,2021-06-01 12:31:00
419.965,419.995,419.915,419.945,2021-06-01 12:32:00
419.945,419.985,419.925,419.985,2021-06-01 12:33:00
419.985,420.005,419.915,419.995,2021-06-01 12:34:00
419.995,420.025,419.955,420.015,2021-06-01 12:35:00
420.015,420.015,419.935,419.97,2021-06-01 12:36:00
419.97,420.025,419.955,419.985,2021-06-01 12:37:00
419.985,420.035,419.965,420.035,2021-06-01 12:38:00
420.035,420.085,419.965,419.985,2021-06-01 12:39:00
419.985,420.025,419.955,420.025,2021-06-01 12:40:00
420.025,420.045,420.005,420.035,2021-06-01 12:41:00
420.035,420.105,420.005,420.105,2021-06-01 12:42:00
420.105,420.235,420.075,420.225,2021-06-01 12:43:00
420.225,420.225,420.115,420.145,2021-06-01 12:44:00
420.145,420.185,420.135,420.165,2021-06-01 12:45:00
420.165,420.175,420.085,420.105,2021-06-01 12:46:00
420.105,420.125,420.085,420.11,2021-06-01 12:47:00
420.11,420.115,420.085,420.105,2021-06-01 12:48:00
420.105,420.105,420.045,420.055,2021-06-01 12:49:00
420.055,420.065,419.915,419.985,2021-06-01 12:50:00
419.985,419.995,419.885,419.895,2021-06-01 12:51:00
419.895,419.925,419.835,419.905,2021-06-01 12:52:00
419.905,419.915,419.865,419.865,2021-06-01 12:53:00
419.865,419.865,419.735,419.845,2021-06-01 12:54:00
419.845,419.855,419.755,419.755,2021-06-01 12:55:00
419.755,419.765,419.685,419.725,2021-06-01 12:56:00
419.725,419.785,419.685,419.715,2021-06-01 12:57:00
419.715,419.785,419.695,419.765,2021-06-01 12:58:00
419.765,419.825,419.715,419.825,2021-06-01 12:59:00
419.825,419.835,419.775,419.805,2021-06-01 13:00:00
419.805,419.815,419.665,419.705,2021-06-01 13:01:00
419.705,419.735,419.675,419.685,2021-06-01 13:02:00
419.685,419.705,419.655,419.685,2021-06-01 13:03:00
419.685,419.685,419.485,419.485,2021-06-01 13:04:00
419.485,419.485,419.295,419.415,2021-06-01 13:05:00
419.415,419.415,419.265,419.275,2021-06-01 13:06:00
419.275,419.395,419.275,419.395,2021-06-01 13:07:00
419.395,419.495,419.395,419.415,2021-06-01 13:08:00
419.415,419.545,419.415,419.525,2021-06-01 13:09:00
419.525,419.565,419.415,419.425,2021-06-01 13:10:00
419.425,419.515,419.425,419.495,2021-06-01 13:11:00
419.495,419.515,419.455,419.505,2021-06-01 13:12:00
419.505,419.515,419.465,419.465,2021-06-01 13:13:00
419.465,419.465,419.375,419.395,2021-06-01 13:14:00
419.395,419.465,419.345,419.345,2021-06-01 13:15:00
419.345,419.355,419.305,419.32,2021-06-01 13:16:00
419.32,419.405,419.305,419.395,2021-06-01 13:17:00
419.395,419.395,419.315,419.325,2021-06-01 13:18:00
419.325,419.335,419.265,419.285,2021-06-01 13:19:00
419.285,419.335,419.285,419.295,2021-06-01 13:20:00
419.295,419.305,419.2,419.215,2021-06-01 13:21:00
419.215,419.295,419.205,419.275,2021-06-01 13:22:00
419.275,419.335,419.245,419.275,2021-06-01 13:23:00
419.275,419.375,419.255,419.315,2021-06-01 13:24:00
419.315,419.355,419.275,419.345,2021-06-01 13:25:00
419.345,419.345,419.305,419.325,2021-06-01 13:26:00
419.325,419.355,419.275,419.345,2021-06-01 13:27:00
419.345,419.405,419.325,419.325,2021-06-01 13:28:00
419.325,419.355,419.295,419.325,2021-06-01 13:29:00
419.325,419.385,419.265,419.345,2021-06-01 13:30:00
419.345,419.355,419.29,419.345,2021-06-01 13:31:00
419.345,419.375,419.295,419.345,2021-06-01 13:32:00
419.345,419.465,419.345,419.465,2021-06-01 13:33:00
419.465,419.475,419.405,419.465,2021-06-01 13:34:00
419.465,419.465,419.395,419.415,2021-06-01 13:35:00
419.415,419.425,419.365,419.415,2021-06-01 13:36:00
419.415,419.465,419.395,419.395,2021-06-01 13:37:00
419.395,419.415,419.355,419.395,2021-06-01 13:38:00
419.395,419.465,419.395,419.455,2021-06-01 13:39:00
419.455,419.455,419.355,419.365,2021-06-01 13:40:00
